abertura;fechamento;maximo;minimo
68346;68360.54;68415;68290.9
68360.55;68259.98;68395.67;68242.24
68259.99;68185.99;68264;68166.66
68185.99;68296.81;68296.97;68179.02
68296.82;68312.2;68347.41;68256.01
68312.2;68390;68395;68266.65
68390;68387.4;68434.88;68359.99
68387.39;68415;68416;68352
68415;68385.84;68415;68349.99
68385.84;68299.65;68385.85;68298.82
68299.65;68489.13;68539.19;68286.33
68489.14;68661.82;68740;68412.13
68661.82;68705.43;68771.99;68600.46
68705.43;69056;69101;68699.99
69056;69556.97;69692;69051.62
69556.98;69410;69612.99;69345.5
69410;69062.01;69424;69025.98
69062.01;68896;69095;68800
68896;69109.44;69109.45;68824.19
69109.45;68840;69150;68824
68839.99;69076.62;69087.73;68826.8
69076.63;68999.99;69098;68976.57
68999.99;69212.02;69317.43;68998.57
69212.02;69499.99;69600;69212.01
69500;69415.59;69655.16;69318
69415.58;69541.65;69607.88;69340.08
69541.65;69479.99;69777;69472.62
69479.99;69643.43;69669.61;69415.58
69643.44;69470.31;69668.88;69384.61
69470.31;69300;69543.39;69300
69300.01;69298.01;69399.8;69250
69298;69453.31;69453.31;69298
69453.31;69382.01;69476.01;69314.48
69382;69408.05;69510;69382
69408.04;69272.74;69493.98;69272.47
69272.75;69204;69313.52;69172.69
69203.99;69221.99;69278.58;69053.97
69222;69304.44;69326.66;69220
69304.44;69394.31;69464;69279.72
69394.32;69388;69445;69267.07
69388;69398.68;69439.86;69332.01
69398.69;69397.76;69435.99;69307.24
69397.76;69341.99;69414.87;69285.71
69342;69243.31;69342;69190
69243.31;69261.77;69298.68;69110.81
69261.77;69244.09;69267.08;69158
69244.08;69322.34;69330;69213.84
69322.34;69420;69432.96;69315.4
69420.01;69374;69482.44;69364.63
69374.01;69364.01;69422.16;69340
69364;69462.01;69478.2;69350.01
69462.01;69482.64;69516.22;69333.72
69482.65;69534;69550;69482.64
69533.99;69479.99;69555;69448.64
69479.99;69493.25;69493.25;69415.58
69493.24;69365.95;69493.25;69365.95
69365.95;69223.99;69386.9;69219
69224;69289.99;69290;69199.01
69290;69316.98;69338.26;69236
69316.98;69384.01;69430.54;69279.71
69384.01;69469.99;69495.15;69354
69469.99;69328.14;69470;69317
69328.14;69275.51;69370.67;69234.84
69275.52;69340.01;69386.4;69200
69340.01;69384.96;69384.97;69267.08
69384.96;69357;69407.72;69334
69357;69293.65;69396;69267.07
69293.65;69225.99;69327.67;69210
69225.99;69390.8;69399.53;69214
69390.8;69335.99;69415.59;69222.22
69336;69459.07;69459.07;69322.93
69459.07;69408.74;69464.35;69370.56
69408.73;69357.71;69550;69285.71
69357.7;69349.93;69414;69349.92
69349.93;69291;69374.88;69289.87
69291;69290;69347.3;69220
69290.01;69494.82;69520.45;69256
69494.83;69578.44;69664.67;69422.17
69578.44;69800;69800;69540.09
69799.99;69736;69886.03;69673.55
69736.01;69584.01;69736.01;69360.44
69584.01;69543.74;69718.92;69402
69543.73;69900;69989.19;69483.9
69900.01;69964.01;70177.7;69770
69964.01;70156.01;70320.88;69934
70156;70074;70326.29;70032
70074.01;69854.06;70112;69752.7
69854.05;69872.39;70000;69817.9
69872.39;69729.12;69894;69658.19
69729.12;69798.01;69836;69675.81
69798.02;69540.17;69828;69509.99
69540.18;69551.78;69614;69510
69551.78;69393.16;69554.57;69234.14
69393.16;69390.01;69444;69320.01
69390.01;69376;69390.01;69282.19
